0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:41 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "GET /manager/popup HTTP/1.1" 200 30335
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "GET /resources/images/x2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "GET /manager/popup/1 HTTP/1.1" 200 218736
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "GET /manager/popup/2 HTTP/1.1" 200 393238
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "GET /manager/popup/3 HTTP/1.1" 200 1161546
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:43 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /manager/consult/list HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /resources/images/unlock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /resources/images/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "GET /manager/consult/resources/images/favicon-32x32.png HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:49 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:04 +0900] "GET /manager/professor_list HTTP/1.1" 200 26805
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:04 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:06 +0900] "GET /manager/student_list HTTP/1.1" 200 44957
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:06 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:06 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:06 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:06 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "GET /manager/draft/list HTTP/1.1" 200 42573
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "GET /manager/draft/resources/images/favicon-32x32.png HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:46 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:49 +0900] "GET /manager/draft/detail?draft_no=200731&name=%EC%9D%B4%EB%88%84%EB%A6%AC HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:49 +0900] "GET /resources/css/draft/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:49 +0900] "GET /resources/css/draft/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:49 +0900] "GET /resources/js/filedownload/jquery.fileDownload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:50:59 +0900] "GET /manager/draft/detail?draft_no=200731&name=%EC%9D%B4%EB%88%84%EB%A6%AC HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:06 +0900] "GET /manager/professor_list HTTP/1.1" 200 26805
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:07 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:15 +0900] "GET /manager/notice_list HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:15 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:15 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:15 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:15 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:18 +0900] "GET /manager/detail?notice_no=266 HTTP/1.1" 200 32795
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:51:18 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:37:57 +0900] "POST /noticePointList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:37:57 +0900] "GET /commons/loginTimeOut HTTP/1.1" 200 21632
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:18 +0900] "GET /manager/lecture_management HTTP/1.1" 200 50874
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:18 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:20 +0900] "POST /manager/lecture_management_detail HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:20 +0900] "GET /manager/picture/2e51a96cd4914c599b134f9f896cc31f$$%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8.jpg HTTP/1.1" 200 255460
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:27 +0900] "GET /manager/lecture_management HTTP/1.1" 200 50874
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:27 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:27 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:27 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:27 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:29 +0900] "POST /manager/lecture_management_detail HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:29 +0900] "GET /manager/picture/2e51a96cd4914c599b134f9f896cc31f$$%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8.jpg HTTP/1.1" 200 255460
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:30 +0900] "GET /manager/lecture_management HTTP/1.1" 200 50874
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:30 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:30 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:30 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:30 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:33 +0900] "POST /manager/lecture_management_detail HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Jul/2020:14:38:33 +0900] "GET /manager/picture/2e51a96cd4914c599b134f9f896cc31f$$%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8.jpg HTTP/1.1" 200 255460
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "GET /manager/lecture_management HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "GET /commons/loginTimeOut HTTP/1.1" 200 21632
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "GET /commons/resources/images/favicon-32x32.png HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "GET /myPage/myPageMain HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:04 +0900] "GET /commons/login HTTP/1.1" 200 5052
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "POST /commons/loginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /myPage/myPageMain HTTP/1.1" 200 36041
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /myPage/AttIprame HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /myPage/profile HTTP/1.1" 500 2368
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "POST /noticePointList HTTP/1.1" 200 45529
